BirdID,LatinName,GermanName,EnglishName
3856,Nannopsittaca panychlora,Tepuisittich,Tepui Parrotlet
3857,Nannopterum auritum,Ohrenscharbe,Double-crested Cormorant
3858,Nannopterum brasilianum,Humboldtscharbe,Neotropic Cormorant
3859,Napothera danjoui,Annamsäbeldrossling,Short-tailed Scimitar-Babbler
3860,Napothera epilepidota,Fleckenzwergdrossling,Eyebrowed Wren-Babbler
3861,Napothera malacoptila,Assamsäbeldrossling,Long-billed Wren-Babbler
3862,Nasica longirostris,Langschnabel-Baumsteiger,Long-billed Woodcreeper
3863,Nectarinia famosa,Malachitnektarvogel,Malachite Sunbird
3864,Nectarinia kilimensis,Bronzenektarvogel,Bronze Sunbird
3865,Nemosia pileata,Schwarzkappentangare,Hooded Tanager
3866,Nengetus cinereus,Bartstreif-Scheckenentyrann,Grey Monjita
3867,Neochmia phaeton,Sonnenamadine,Crimson Finch
3868,Neochmia temporalis,Dornamadine,Red-browed Firetail
3869,Neoconocephalus bivocatus,False Robust Conehead,False Robust Conehead
3870,Neoconocephalus ensiger,Sword-bearing Conehead,Sword-bearing Conehead
3871,Neoconocephalus retusus,Round-tipped Conehead,Round-tipped Conehead
3872,Neoconocephalus robustus,Robust Conehead,Robust Conehead
3873,Neocossyphus finschi,Finsch's Flycatcher-Thrush,Finsch's Flycatcher-Thrush
3874,Neocossyphus fraseri,Rufous Flycatcher-Thrush,Rufous Flycatcher-Thrush
3875,Neocossyphus poensis,Weißschwanz-Fuchsdrossel,White-tailed Ant-Thrush
3876,Neocossyphus rufus,Rotschwanz-Fuchsdrossel,Red-tailed Ant-Thrush
3877,Neoctantes niger,Buschameisenwürger,Black Bushbird
3878,Neomixis striatigula,Streifenkehlsänger,Stripe-throated Jery
3879,Neomixis tenella,Graunackensänger,Common Jery
3880,Neomorphus geoffroyi,Geoffroygrundkuckuck,Rufous-vented Ground-Cuckoo
3881,Neomorphus rufipennis,Rotschwingen-Grundkuckuck,Rufous-winged Ground-Cuckoo
3882,Neonemobius cubensis,Cuban Ground Cricket,Cuban Ground Cricket
3883,Neopelma aurifrons,Grünscheitelpipra,Wied's Tyrant-Manakin
3884,Neopelma chrysocephalum,Goldscheitelpipra,Saffron-crested Tyrant-Manakin
3885,Neopelma chrysolophum,Goldhaubenpipra,Serra do Mar Tyrant-Manakin
3886,Neopelma pallescens,Rahmbauchpipra,Pale-bellied Tyrant-Manakin
3887,Neopelma sulphureiventer,Gelbbauchpipra,Sulphur-bellied Tyrant-Manakin
3888,Neophema pulchella,Schönsittich,Turquoise Parrot
3889,Neopipo cinnamomea,Zimtbauchtyrann,Cinnamon Manakin-Tyrant
3890,Neothraupis fasciata,Flügelbindentangare,White-banded Tanager
3891,Nephelomyias lintoni,Orangeband-Schnäppertyrann,Orange-banded Flycatcher
3892,Nephelomyias pulcher,Graukronen-Schnäppertyrann,Handsome Flycatcher
3893,Nesillas lantzii,Wolfsmilchspötter,Subdesert Brush-Warbler
3894,Nesillas typica,Madagaskarspötter,Malagasy Brush-Warbler
3895,Nesoenas mayeri,Rosentaube,Pink Pigeon
3896,Nesoptilotis flavicollis,Gelbkehl-Honigfresser,Yellow-throated Honeyeater
3897,Nesoptilotis leucotis,Schwarzkehl-Honigfresser,White-eared Honeyeater
3898,Nesospingus speculiferus,Puerto-Rico-Tangare,Puerto Rican Tanager
3899,Nestor meridionalis,Kaka,New Zealand Kaka
3900,Netta rufina,Kolbenente,Red-crested Pochard
3901,Nettapus coromandelianus,Koromandelzwergente,Cotton Pygmy-Goose
3902,Newtonia amphichroa,Olivbauchvanga,Dark Newtonia
3903,Newtonia archboldi,Braunstirnvanga,Archbold's Newtonia
3904,Newtonia brunneicauda,Rostbauchvanga,Common Newtonia
3905,Nicator chloris,Graukehl-Tropfenvogel,Western Nicator
3906,Nicator gularis,Braunkopf-Tropfenvogel,Eastern Nicator
3907,Nicator vireo,Gelbkehl-Tropfenvogel,Yellow-throated Nicator
3908,Nigrita canicapillus,Graunackenschwärzling,Grey-headed Nigrita
3909,Nilaus afer,Brubruwürger,Brubru
3910,Niltava grandis,Kobaltblauschnäpper,Large Niltava
3911,Niltava macgrigoriae,Feenblauschnäpper,Small Niltava
3912,Niltava sundara,Rotbauch-Blauschnäpper,Rufous-bellied Niltava
3913,Niltava vivida,Taiwanblauschnäpper,Taiwan Vivid Niltava
3914,Ninox boobook,Boobookkauz,Southern Boobook
3915,Ninox connivens,Kläfferkauz,Barking Owl
3916,Ninox ios,Zinnoberkauz,Cinnabar Boobook
3917,Ninox japonica,Japankauz,Northern Boobook
3918,Ninox novaeseelandiae,Kuckuckskauz,Morepork
3919,Ninox obscura,Dunkelkauz,Hume's Boobook
3920,Ninox philippensis,Luzonkauz,Luzon Boobook
3921,Ninox scutulata,Falkenkauz,Brown Boobook
3922,Ninox strenua,Riesenkauz,Powerful Owl
3923,Ninox theomacha,Einfarbkauz,Papuan Boobook
3924,Nisaetus cirrhatus,Indienhaubenadler,Changeable Hawk-Eagle
3925,Nisaetus nanus,Dschungelhaubenadler,Wallace's Hawk-Eagle
3926,Nisaetus nipalensis,Berghaubenadler,Mountain Hawk-Eagle
3927,Noise,Noise,Noise
3928,Nonnula brunnea,Einfarb-Faulvogel,Brown Nunlet
3929,Nonnula frontalis,Grauwangen-Faulvogel,Grey-cheeked Nunlet
3930,Nonnula rubecula,Zügelfaulvogel,Rusty-breasted Nunlet
3931,Nonnula ruficapilla,Rostscheitel-Faulvogel,Rufous-capped Nunlet
3932,Northiella haematogaster,Blutbauchsittich,Greater Bluebonnet
3933,Notharchus hyperrhynchus,Weißnacken-Faulvogel,White-necked Puffbird
3934,Notharchus macrorhynchos,Guyanasfaulvogel,Guianan Puffbird
3935,Notharchus ordii,Braunbinden-Faulvogel,Brown-banded Puffbird
3936,Notharchus pectoralis,Gürtelfaulvogel,Black-breasted Puffbird
3937,Notharchus swainsoni,Fahlbauch-Faulvogel,Buff-bellied Puffbird
3938,Notharchus tectus,Elsterfaulvogel,Pied Puffbird
3939,Nothocercus bonapartei,Bergtinamu,Highland Tinamou
3940,Nothocercus julius,Gelbbrusttinamu,Tawny-breasted Tinamou
3941,Nothocercus nigrocapillus,Kapuzentinamu,Hooded Tinamou
3942,Nothocrax urumutum,Rothokko,Nocturnal Curassow
3943,Nothoprocta cinerascens,Cordobatinamu,Brushland Tinamou
3944,Nothoprocta ornata,Pisaccatinamu,Ornate Tinamou
3945,Nothoprocta pentlandii,Andentinamu,Andean Tinamou
3946,Nothoprocta perdicaria,Chiletinamu,Chilean Tinamou
3947,Nothura boraquira,Weißbauchtinamu,White-bellied Nothura
3948,Nothura darwinii,Darwintinamu,Darwin's Nothura
3949,Nothura maculosa,Fleckentinamu,Spotted Nothura
3950,Notiomystis cincta,Stichvogel,Stitchbird
3951,Notopholia corusca,Schwarzbauch-Glanzstar,Black-bellied Starling
3952,Nucifraga caryocatactes,Tannenhäher,Spotted Nutcracker
3953,Nucifraga columbiana,Kiefernhäher,Clark's Nutcracker
3954,Numenius americanus,Rostbrachvogel,Long-billed Curlew
3955,Numenius arquata,Brachvogel,Eurasian Curlew
3956,Numenius madagascariensis,Isabellbrachvogel,Far Eastern Curlew
3957,Numenius minutus,Zwergbrachvogel,Little Whimbrel
3958,Numenius phaeopus,Regenbrachvogel,Whimbrel
3959,Numenius tahitiensis,Borstenbrachvogel,Bristle-thighed Curlew
3960,Numida meleagris,Helmperlhuhn,Helmeted Guineafowl
3961,Nyctanassa violacea,Krabbenreiher,Yellow-crowned Night Heron
3962,Nyctibius aethereus,Langschwanz-Tagschläfer,Long-tailed Potoo
3963,Nyctibius bracteatus,Rufous Potoo,Rufous Potoo
3964,Nyctibius grandis,Riesentagschläfer,Great Potoo
3965,Nyctibius griseus,Klagetagschläfer,Common Potoo
3966,Nyctibius jamaicensis,Mexikotagschläfer,Northern Potoo
3967,Nyctibius leucopterus,Weißflügel-Tagschläfer,White-winged Potoo
3968,Nycticorax nycticorax,Nachtreiher,Black-crowned Night Heron
3969,Nyctidromus albicollis,Pauraquenachtschwalbe,Common Pauraque
3970,Nyctidromus anthonyi,Ecuadornachtschwalbe,Scrub Nightjar
3971,Nyctiphrynus mcleodii,Ohrennachtschwalbe,Eared Poorwill
3972,Nyctiphrynus ocellatus,Augennachtschwalbe,Ocellated Poorwill
3973,Nyctiphrynus rosenbergi,Chocónachtschwalbe,Choco Poorwill
3974,Nyctiphrynus yucatanicus,Yucatánnachtschwalbe,Yucatan Poorwill
3975,Nyctipolus nigrescens,Trauernachtschwalbe,Blackish Nightjar
3976,Nyctiprogne leucopyga,Bindenschwanz-Nachtschwalbe,Band-tailed Nighthawk
3977,Nyctyornis amictus,Rotbartspint,Red-bearded Bee-eater
3978,Nyctyornis athertoni,Blaubartspint,Blue-bearded Bee-eater
3979,Nymphicus hollandicus,Nymphensittich,Cockatiel
3980,Nystalus chacuru,Weißohr-Faulvogel,White-eared Puffbird
3981,Nystalus maculatus,Fleckmantel-Faulvogel,Spot-backed Puffbird
3982,Nystalus obamai,Schwarzmantel-Faulvogel,Western Striolated-Puffbird
3983,Nystalus radiatus,Tigerfaulvogel,Barred Puffbird
3984,Nystalus striolatus,Strichelfaulvogel,Eastern Striolated-Puffbird
3985,Ochetorhynchus andaecola,Rostschwanz-Erdhacker,Rock Earthcreeper
3986,Ochetorhynchus melanurus,Rotbürzel-Erdhacker,Crag Chilia
3987,Ochetorhynchus phoenicurus,Schwarzschwanz-Erdhacker,Band-tailed Earthcreeper
3988,Ochetorhynchus ruficaudus,Geradschnabel-Erdhacker,Straight-billed Earthcreeper
3989,Ochthoeca cinnamomeiventris,Schiefermantel-Schmätzertyrann,Chestnut-bellied Chat-Tyrant
3990,Ochthoeca diadema,Yellow-bellied Chat-Tyrant,Yellow-bellied Chat-Tyrant
3991,Ochthoeca frontalis,Crowned Chat-Tyrant,Crowned Chat-Tyrant
3992,Ochthoeca fumicolor,Fahlbrauen-Schmätzertyrann,Brown-backed Chat-Tyrant
3993,Ochthoeca jelskii,Jelski's Chat-Tyrant,Jelski's Chat-Tyrant
3994,Ochthoeca leucophrys,Graubauch-Schmätzertyrann,White-browed Chat-Tyrant
3995,Ochthoeca oenanthoides,Graurücken-Schmätzertyrann,d'Orbigny's Chat-Tyrant
3996,Ochthoeca pulchella,Golden-browed Chat-Tyrant,Golden-browed Chat-Tyrant
3997,Ochthoeca rufipectoralis,Orangebrust-Schmätzertyrann,Rufous-breasted Chat-Tyrant
3998,Ochthornis littoralis,Weißbrauentyrann,Drab Water Tyrant
3999,Ocreatus underwoodii,Grünscheitel-Flaggensylphe,White-booted Racket-tail
4000,Ocyceros birostris,Indienhornvogel,Indian Grey Hornbill
4001,Ocyceros gingalensis,Ceylonhornvogel,Sri Lanka Grey Hornbill
4002,Ocyceros griseus,Grauhornvogel,Malabar Grey Hornbill
4003,Ocyphaps lophotes,Spitzschopftaube,Crested Pigeon
4004,Odocoileus virginianus,White-tailed Deer,White-tailed Deer
4005,Odontophorus atrifrons,Schwarzstirnwachtel,Black-fronted Wood-Quail
4006,Odontophorus balliviani,Streifengesichtwachtel,Stripe-faced Wood-Quail
4007,Odontophorus capueira,Capueirawachtel,Spot-winged Wood-Quail
4008,Odontophorus columbianus,Venezuelawachtel,Venezuelan Wood-Quail
4009,Odontophorus erythrops,Rotstirnwachtel,Rufous-fronted Wood-Quail
4010,Odontophorus gujanensis,Marmorwachtel,Marbled Wood-Quail
4011,Odontophorus guttatus,Tropfenwachtel,Spotted Wood-Quail
4012,Odontophorus hyperythrus,Kastanienwachtel,Chestnut Wood-Quail
4013,Odontophorus leucolaemus,Weißkehlwachtel,Black-breasted Wood-Quail
4014,Odontophorus melanonotus,Schwarzrückenwachtel,Dark-backed Wood-Quail
4015,Odontophorus melanotis,Schwarzohrwachtel,Black-eared Wood-Quail
4016,Odontophorus speciosus,Rotbrustwachtel,Rufous-breasted Wood-Quail
4017,Odontophorus stellatus,Sternwachtel,Starred Wood-Quail
4018,Odontophorus strophium,Kragenwachtel,Gorgeted Wood-Quail
4019,Odontorchilus branickii,Graumantel-Zaunkönig,Grey-mantled Wren
4020,Odontorchilus cinereus,Zahnschnabel-Zaunkönig,Tooth-billed Wren
4021,Oecanthus celerinictus,Fast-calling Tree Cricket,Fast-calling Tree Cricket
4022,Oecanthus exclamationis,Davis's Tree Cricket,Davis's Tree Cricket
4023,Oecanthus fultoni,Snowy Tree Cricket,Snowy Tree Cricket
4024,Oecanthus nigricornis,Blackhorned Tree Cricket,Blackhorned Tree Cricket
4025,Oecanthus niveus,Narrow-winged Tree Cricket,Narrow-winged Tree Cricket
